Animal,TestNumber,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance_px,Distance_cm
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,1,"(0, 30)",11.01211583,2.162574133
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,1,"(0, 30)",29.14770071,5.724064709
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,1,"(0, 30)",12.68048364,2.490210449
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,1,"(0, 30)",18.38198672,3.609879302
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,1,"(0, 30)",38.97548599,7.654058415
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,1,"(0, 30)",9.419556599,1.849825207
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,1,"(0, 30)",6.378030677,1.252526252
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,1,"(0, 30)",12.13879699,2.383833297
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,1,"(0, 30)",17.49585331,3.43585923
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,1,"(0, 30)",12.79611654,2.512918596
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,1,"(0, 30)",20.4138884,4.00890689
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,1,"(0, 30)",97.29474398,19.10687282
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,1,"(0, 30)",12.12806301,2.381725343
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,1,"(0, 30)",22.82517841,4.482439269
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,1,"(0, 30)",70.1883479,13.78368226
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,1,"(0, 30)",8.36700448,1.643123605
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,2,"(30, 60)",11.98194075,2.353029656
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,2,"(30, 60)",15.45673505,3.035414439
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,2,"(30, 60)",19.14754781,3.760221219
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,2,"(30, 60)",28.45674383,5.588373666
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,2,"(30, 60)",18.80565244,3.693079346
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,2,"(30, 60)",12.16670841,2.389314579
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,2,"(30, 60)",13.88751422,2.727248741
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,2,"(30, 60)",14.79688041,2.905831296
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,2,"(30, 60)",39.24201587,7.706399911
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,2,"(30, 60)",15.06628016,2.958736383
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,2,"(30, 60)",19.56241372,3.841693144
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,2,"(30, 60)",33.90687278,6.658677329
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,2,"(30, 60)",11.3565693,2.230218369
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,2,"(30, 60)",19.59476729,3.848046782
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,2,"(30, 60)",37.13114246,7.291863749
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,2,"(30, 60)",9.150701541,1.797027089
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,3,"(60, 90)",13.06070523,2.564878878
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,3,"(60, 90)",4.063268146,0.797950069
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,3,"(60, 90)",11.83888421,2.32493602
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,3,"(60, 90)",42.23112211,8.293404619
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,3,"(60, 90)",9.313707466,1.829038412
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,3,"(60, 90)",8.102910453,1.591260464
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,3,"(60, 90)",78.76326098,15.46763524
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,3,"(60, 90)",11.69309915,2.296306554
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,3,"(60, 90)",29.36845731,5.767417189
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,3,"(60, 90)",24.17798335,4.748104923
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,3,"(60, 90)",11.79572736,2.316460821
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,3,"(60, 90)",12.71705198,2.497391789
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,3,"(60, 90)",8.161267828,1.602720764
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,3,"(60, 90)",46.04050651,9.041496656
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,3,"(60, 90)",97.09092221,19.06684603
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,3,"(60, 90)",12.70189227,2.494414706
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,4,"(90, 120)",11.83492436,2.324158381
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,4,"(90, 120)",6.889911249,1.353050048
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,4,"(90, 120)",16.11973209,3.165614692
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,4,"(90, 120)",16.77653837,3.294599192
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,4,"(90, 120)",36.63817628,7.195054387
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,4,"(90, 120)",13.76966898,2.704106134
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,4,"(90, 120)",24.12242485,4.737194271
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,4,"(90, 120)",11.88886079,2.334750489
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,4,"(90, 120)",14.90246266,2.926565682
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,4,"(90, 120)",10.70928286,2.103103386
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,4,"(90, 120)",19.03765695,3.738640704
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,4,"(90, 120)",9.950172691,1.95402831
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,4,"(90, 120)",9.643668629,1.893836629
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,4,"(90, 120)",73.62039601,14.45767249
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,4,"(90, 120)",32.17086704,6.317758184
