Animal,File,phase,subphase,t,FileLength,MotionCutoff,FreezeThresh,MinFreezeDuration,bin,range(f),Motion,Freezing
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-30,162087,10,50,15,min_0,"(0, 1800)",0.322222222,99.83333333
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-29,162087,10,50,15,min_1,"(1800, 3600)",0.007222222,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-28,162087,10,50,15,min_2,"(3600, 5400)",0.006666667,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-27,162087,10,50,15,min_3,"(5400, 7200)",0.007777778,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-26,162087,10,50,15,min_4,"(7200, 9000)",0.005,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-25,162087,10,50,15,min_5,"(9000, 10800)",0.008888889,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-24,162087,10,50,15,min_6,"(10800, 12600)",0.014444444,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-23,162087,10,50,15,min_7,"(12600, 14400)",0.038888889,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-22,162087,10,50,15,min_8,"(14400, 16200)",0.495,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-21,162087,10,50,15,min_9,"(16200, 18000)",3.792777778,94.11111111
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-20,162087,10,50,15,min_10,"(18000, 19800)",0.014444444,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-19,162087,10,50,15,min_11,"(19800, 21600)",0.009444444,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-18,162087,10,50,15,min_12,"(21600, 23400)",0.233333333,99.66666667
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-17,162087,10,50,15,min_13,"(23400, 25200)",0.013333333,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-16,162087,10,50,15,min_14,"(25200, 27000)",3.300555556,99.22222222
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-15,162087,10,50,15,min_15,"(27000, 28800)",0.167222222,99.94444444
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-14,162087,10,50,15,min_16,"(28800, 30600)",0.378888889,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-13,162087,10,50,15,min_17,"(30600, 32400)",0.086111111,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-12,162087,10,50,15,min_18,"(32400, 34200)",2.052222222,97.94444444
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-11,162087,10,50,15,min_19,"(34200, 36000)",1.196111111,97.83333333
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-10,162087,10,50,15,min_20,"(36000, 37800)",0.037777778,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-9,162087,10,50,15,min_21,"(37800, 39600)",0.028888889,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-8,162087,10,50,15,min_22,"(39600, 41400)",0.035,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-7,162087,10,50,15,min_23,"(41400, 43200)",0.232777778,99.83333333
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-6,162087,10,50,15,min_24,"(43200, 45000)",0.021111111,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-5,162087,10,50,15,min_25,"(45000, 46800)",0.009444444,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-4,162087,10,50,15,min_26,"(46800, 48600)",0.026666667,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-3,162087,10,50,15,min_27,"(48600, 50400)",0.027222222,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-2,162087,10,50,15,min_28,"(50400, 52200)",0.053888889,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,pre,-1,162087,10,50,15,min_29,"(52200, 54000)",0.026666667,100
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,0,162087,10,50,15,min_30,"(54000, 55800)",31.60833333,74.88888889
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,1,162087,10,50,15,min_31,"(55800, 57600)",104.4955556,26.72222222
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,2,162087,10,50,15,min_32,"(57600, 59400)",129.665,15.27777778
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,3,162087,10,50,15,min_33,"(59400, 61200)",108.5477778,12.55555556
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,4,162087,10,50,15,min_34,"(61200, 63000)",248.1483333,7.833333333
1,200725_SEFL17_MildStressor_g1 Box 1.wmv,min,post,5,162087,10,50,15,min_35,"(63000, 64800)",20.395,72.77777778
