Animal,file,phase,subphase,Box,component,freezing,motion
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min01,40.89,37.59
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min02,20.67,64.63
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min03,14.28,124.89
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min04,21.5,116.2
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min05,23.67,123.45
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min06,28.5,77.06
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min07,15.39,121.34
1,200721_SEFL17_traumatest_g1,traumatest,min,1,min08,36.61,74.69
1,200721_SEFL17_traumatest_g1,traumatest,avg,1,avg,25.42,92.48
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min01,3.5,154.91
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min02,0,166.83
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min03,8.5,148.35
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min04,1.67,175.48
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min05,0,176.63
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min06,0,90.61
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min07,0,235.06
2,200721_SEFL17_traumatest_g1,traumatest,min,2,min08,0,229.04
2,200721_SEFL17_traumatest_g1,traumatest,avg,2,avg,1.71,172.11
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min01,31.94,47.01
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min02,69.39,8.52
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min03,62.33,35.86
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min04,67.89,30.5
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min05,56.83,28.13
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min06,47.33,62.4
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min07,67.94,18.19
3,200721_SEFL17_traumatest_g1,traumatest,min,3,min08,67.89,29.15
3,200721_SEFL17_traumatest_g1,traumatest,avg,3,avg,59.23,32.47
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min01,0,320.54
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min02,0,301.33
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min03,0,254.55
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min04,0,273.2
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min05,0,270.9
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min06,0,218.34
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min07,0,265.11
4,200721_SEFL17_traumatest_g1,traumatest,min,4,min08,0,235.64
4,200721_SEFL17_traumatest_g1,traumatest,avg,4,avg,0,267.45
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min01,3.39,130.42
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min02,4.5,121.41
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min03,5.39,162.11
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min04,0,165.29
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min05,2.11,195.81
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min06,1.78,186.96
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min07,0,167.26
5,200722_SEFL17_traumatest_g2,traumatest,min,1,min08,2.11,152.12
5,200722_SEFL17_traumatest_g2,traumatest,avg,1,avg,2.41,160.17
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min01,15.89,126.81
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min02,45.5,26.94
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min03,25.39,110.42
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min04,9.83,178.61
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min05,22.44,100.73
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min06,21.78,74.13
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min07,11,185.14
6,200722_SEFL17_traumatest_g2,traumatest,min,2,min08,34.28,109.91
6,200722_SEFL17_traumatest_g2,traumatest,avg,2,avg,23.29,114.09
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min01,1.94,208.98
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min02,0,235.51
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min03,4.28,221.95
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min04,3.94,155.57
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min05,4.11,153.04
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min06,4.28,207.03
7,200722_SEFL17_traumatest_g2,traumatest,min,3,min07,17.67,88.39
