"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"IC","Inferior colliculus","midbrain","808",1.05704014598718,0.290493265746215,1.27438893003855,0.20252561355296,0.230536349921618,0.817675020889106,0.426862604939642,0.559251876616575,FALSE,NA,NA
"PGRNd","Paragigantocellular reticular nucleus, dorsal part","hindbrain","974",-2.50193421668956,0.0123516873089809,-2.0461566338475,0.0407409624515436,0.485765078059552,0.62713373683696,0.0339760390449481,0.10518609348162,FALSE,NA,NA
"SSp-n1","Primary somatosensory area, nose, layer 1","cortical_plate","45",4.93750908989531,7.91267195251853e-07,2.07083591298082,0.0383741328527383,-3.05250074164007,0.00226943170264415,0.000118716661525964,0.0048781755463396,TRUE,0.0340414755396623,TRUE
"VISpl2/3","Posterolateral visual area, layer 2/3","cortical_plate","194",2.1775455192876,0.0294398893950243,1.21753896841783,0.223399219312978,-1.02144467298724,0.307043809296313,0.119711063934022,0.224537774968884,FALSE,NA,NA
"SO","Supraoptic nucleus","diencephalon","717",3.11178129109364,0.0018596221443538,2.97307481821171,0.00294832573778402,-0.14789604046121,0.8824248130974,0.00841456618055969,0.0437170564783101,TRUE,0.968515038765439,FALSE
"RSPagl","Retrosplenial area, lateral agranular part","cortical_plate","298",2.53784142421733,0.0111538511327803,1.93975056590459,0.0524100110261341,-0.638669536248426,0.523037934612026,0.099218703472942,0.201106968474304,FALSE,NA,NA
"SSp-ul6b","Primary somatosensory area, upper limb, layer 6b","cortical_plate","85",-2.2410363312473,0.0250237217386925,-1.48464781594427,0.137637141970846,0.802925663054999,0.422017701980354,0.0859275578316381,0.187629256714495,FALSE,NA,NA
"LRN","Lateral reticular nucleus","hindbrain","964",-0.672873507338556,0.501027767887708,-0.0299149978782616,0.97613484462572,0.681838330768611,0.495341183833233,0.743312615988602,0.827384375693282,FALSE,NA,NA
"SSp-ll6b","Primary somatosensory area, lower limb, layer 6b","cortical_plate","71",-1.3122750415385,0.189427350168654,-1.09710830220936,0.272594051404817,0.228202960929665,0.819488459679198,0.377528208361833,0.510906437663319,FALSE,NA,NA
"TEa1","Temporal association areas, layer 1","cortical_plate","361",5.83774416813999,5.29123196575721e-09,4.40098156756694,1.07762279678263e-05,-1.53855211118568,0.12391367731078,1.99180461609716e-05,0.00180059137295183,TRUE,0.293479762051848,FALSE
"VPL","Ventral posterolateral nucleus of the thalamus","diencephalon","647",1.97770636713011,0.0479618415650054,-1.26823006833017,0.204715802183533,-3.41432908852323,0.000639392949427275,0.00703595091120535,0.0407724334854464,TRUE,0.0250362354837175,TRUE
"DR","Dorsal nucleus raphe","midbrain","865",-1.56559252936958,0.117444040050697,-0.301668193453433,0.762905017250747,1.33915417789816,0.180520486106332,0.261769014337277,0.395717707292472,FALSE,NA,NA
"VISC2/3","Visceral area, layer 2/3","cortical_plate","116",5.16265781683588,2.43467957699451e-07,4.16878759224802,3.06224197269083e-05,-1.05891495281106,0.289638513784879,0.00022980335642897,0.00649194481911841,TRUE,0.473953931647984,FALSE
"DMX","Dorsal motor nucleus of the vagus nerve","hindbrain","956",0.675162001865611,0.499572845218173,0.563373736831344,0.573180417030087,-0.118688335478884,0.905522278160799,0.784243650508067,0.851856050726129,FALSE,NA,NA
"AUDp1","Primary auditory area, layer 1","cortical_plate","137",2.94796960917444,0.00319868508865576,2.00777924181698,0.0446667556428578,-1.00059964236664,0.317020403072742,0.0251638148628488,0.0888597212344348,FALSE,NA,NA
"GU4","Gustatory areas, layer 4","cortical_plate","110",2.84849473735946,0.00439265798479727,1.13650974181248,0.255743290791618,-1.82124499956587,0.0685696228966253,0.0235426001443226,0.0861502971441192,FALSE,NA,NA
"VCO","Ventral cochlear nucleus","hindbrain","925",0.797818480541729,0.424975835243317,0.277196227013403,0.781629436571762,-0.552393146881724,0.580679024884014,0.714040682122305,0.807760890059399,FALSE,NA,NA
"ORBvl5","Orbital area, ventrolateral part, layer 5","cortical_plate","275",2.27410354619022,0.0229597615407771,2.45520121918954,0.014080574769732,0.192988910569349,0.846967652917713,0.0551083037433995,0.14152814370464,FALSE,NA,NA
"LSv","Lateral septal nucleus, ventral part","cerebral_nuclei","589",0.343612384463042,0.731137809777487,0.872136344137219,0.383134001104691,0.560745012497877,0.574971376985914,0.67643540380963,0.776294490758584,FALSE,NA,NA
"RM","Nucleus raphe magnus","hindbrain","994",-0.655671557817891,0.51203547287759,-2.57602950241869,0.00999421184415684,-2.03601223196264,0.0417491270077384,0.0434018877715625,0.119619837028941,FALSE,NA,NA
"VISam4","Anteromedial visual area, layer 4","cortical_plate","174",2.93187767131941,0.0033691942926071,1.69677519126217,0.0897391707673679,-1.31826825337159,0.187413864358184,0.0394883470529523,0.113686196611048,FALSE,NA,NA
"AUDv1","Ventral auditory area, layer 1","cortical_plate","151",5.12400529708475,2.99112573312927e-07,2.79161574318263,0.00524455968312354,-2.49057935408163,0.0127535012451316,0.000106904122740281,0.00483206634786071,TRUE,0.0604113216874656,FALSE
"SSp-m1","Primary somatosensory area, mouth, layer 1","cortical_plate","73",4.5097602201389,6.4900940438605e-06,1.90058366294808,0.0573565670512726,-2.77425986393234,0.00553274636726475,0.000382978371635811,0.00752635756432116,TRUE,0.0414955977544856,TRUE
"SSp-bfd1","Primary somatosensory area, barrel field, layer 1","cortical_plate","52",3.83971052712874,0.000123179462347094,1.05132273156497,0.293110390322505,-2.96437972815559,0.00303293774902258,0.00114892540934297,0.014042429530678,TRUE,0.037680197753019,TRUE
"PVHd","Paraventricular hypothalamic nucleus, descending division","diencephalon","778",0.615917655021087,0.537948868646524,2.20595667885853,0.027387033093236,1.68971597721706,0.0910823051043017,0.082115488472531,0.181942160733255,FALSE,NA,NA
"ORBvl6a","Orbital area, ventrolateral part, layer 6a","cortical_plate","276",-0.917202668820863,0.359036448582523,0.149252164295136,0.881354659755093,1.13045127251093,0.258286119765516,0.502019531249111,0.625297732012253,FALSE,NA,NA
"VISpm4","posteromedial visual area, layer 4","cortical_plate","202",3.14683074865465,0.00165050471297822,2.15945107102359,0.0308151893981816,-1.05516956389507,0.291347781443453,0.0332358476255175,0.104323632824541,FALSE,NA,NA
"ADP","Anterodorsal preoptic nucleus","diencephalon","735",0.428919444973687,0.667981848793061,1.45894050233347,0.144581484211019,1.09393753701449,0.273982374264207,0.321295003241801,0.458124105568751,FALSE,NA,NA
"PP","Peripeduncular nucleus","diencephalon","656",1.83017986293538,0.0672230479063634,3.07583885277745,0.00209911260491894,1.33110287166913,0.183155164215815,0.0185374974626247,0.0770145586300849,FALSE,NA,NA
"VISC1","Visceral area, layer 1","cortical_plate","115",4.61741408933563,3.88551453746806e-06,3.4555706410162,0.000549129278117621,-1.2443530472108,0.213369655406865,0.000617150872692873,0.00871725607678683,TRUE,0.38581885223727,FALSE
