"annotation_abrv","annotation_names","group","mean","sem","sd","var"
"AId1","Agranular insular area, dorsal part, layer 1","Control",34.875,12.7929074937192,36.1838065596042,1309.26785714286
"AId1","Agranular insular area, dorsal part, layer 1","No Trauma",142.6,66.3954817739882,209.96094875,44083.6
"AId1","Agranular insular area, dorsal part, layer 1","Trauma",65.9,10.9285050314406,34.5589673199623,1194.32222222222
"AId2/3","Agranular insular area, dorsal part, layer 2/3","Control",113.75,35.3723812761151,100.048202668228,10009.6428571429
"AId2/3","Agranular insular area, dorsal part, layer 2/3","No Trauma",464.8,233.156399583341,737.305273727692,543619.066666667
"AId2/3","Agranular insular area, dorsal part, layer 2/3","Trauma",197.8,25.0881999708584,79.3358543016824,6294.17777777778
"AId5","Agranular insular area, dorsal part, layer 5","Control",171.375,57.3248691668808,162.139214874132,26289.125
"AId5","Agranular insular area, dorsal part, layer 5","No Trauma",376.8,83.9200413091732,265.378471872406,70425.7333333333
"AId5","Agranular insular area, dorsal part, layer 5","Trauma",249.3,29.2187344771201,92.3977512953884,8537.34444444444
"AId6a","Agranular insular area, dorsal part, layer 6a","Control",107.75,24.1910181088531,68.4225317943063,4681.64285714286
"AId6a","Agranular insular area, dorsal part, layer 6a","No Trauma",264.7,36.831462999271,116.471312633913,13565.5666666667
"AId6a","Agranular insular area, dorsal part, layer 6a","Trauma",215,27.7628848965265,87.7939506901118,7707.77777777778
"AId6b","Agranular insular area, dorsal part, layer 6b","Control",1.375,0.323899234771733,0.916125381312904,0.839285714285714
"AId6b","Agranular insular area, dorsal part, layer 6b","No Trauma",3.4,0.90921211313239,2.87518115371304,8.26666666666667
"AId6b","Agranular insular area, dorsal part, layer 6b","Trauma",3,0.802772971919486,2.53859103528797,6.44444444444444
"AIp1","Agranular insular area, posterior part, layer 1","Control",68.375,8.76669325996328,24.7959530108098,614.839285714286
"AIp1","Agranular insular area, posterior part, layer 1","No Trauma",211.1,62.8957603234643,198.893857790196,39558.7666666667
"AIp1","Agranular insular area, posterior part, layer 1","Trauma",173.4,26.256512419673,83.0303826586656,6894.04444444444
"AIp2/3","Agranular insular area, posterior part, layer 2/3","Control",183,18.032708377517,51.0042015076069,2601.42857142857
"AIp2/3","Agranular insular area, posterior part, layer 2/3","No Trauma",692.9,182.792380706758,578.040261957975,334130.544444444
"AIp2/3","Agranular insular area, posterior part, layer 2/3","Trauma",529.3,86.9904273149893,275.087884946692,75673.3444444444
"AIp5","Agranular insular area, posterior part, layer 5","Control",346.5,38.1402487069575,107.876913987324,11637.4285714286
"AIp5","Agranular insular area, posterior part, layer 5","No Trauma",595.7,122.173833350499,386.347583861418,149264.455555556
"AIp5","Agranular insular area, posterior part, layer 5","Trauma",531.6,50.1267726203606,158.514773233706,25126.9333333333
"AIp6a","Agranular insular area, posterior part, layer 6a","Control",228.25,13.5919487722906,38.4438365857074,1477.92857142857
"AIp6a","Agranular insular area, posterior part, layer 6a","No Trauma",379,50.7860435771701,160.599571052423,25792.2222222222
"AIp6a","Agranular insular area, posterior part, layer 6a","Trauma",383.5,34.2361894297053,108.26433700285,11721.1666666667
"AIv1","Agranular insular area, ventral part, layer 1","Control",65.625,13.7021081537529,38.7554143682808,1501.98214285714
"AIv1","Agranular insular area, ventral part, layer 1","No Trauma",187.6,46.8167111664675,148.047439844276,21918.0444444444
"AIv1","Agranular insular area, ventral part, layer 1","Trauma",137.8,22.0316943414608,69.6703348316596,4853.95555555556
"AIv2/3","Agranular insular area, ventral part, layer 2/3","Control",158.625,44.904636055598,127.009490646509,16131.4107142857
