annotation_labels,annotation_names,annotation_abrv,annotation_graph_order,volumes,parcellation_group
188,"Accessory olfactory bulb, glomerular layer",AOBgl,387,9454,cortical_plate
196,"Accessory olfactory bulb, granular layer",AOBgr,388,13589,cortical_plate
204,"Accessory olfactory bulb, mitral layer",AOBmi,389,17753,cortical_plate
996,"Agranular insular area, dorsal part, layer 1",AId1,280,40001,cortical_plate
328,"Agranular insular area, dorsal part, layer 2/3",AId2/3,281,70598,cortical_plate
1101,"Agranular insular area, dorsal part, layer 5",AId5,282,41939,cortical_plate
783,"Agranular insular area, dorsal part, layer 6a",AId6a,283,19039,cortical_plate
831,"Agranular insular area, dorsal part, layer 6b",AId6b,284,418,cortical_plate
120,"Agranular insular area, posterior part, layer 1",AIp1,286,31189,cortical_plate
163,"Agranular insular area, posterior part, layer 2/3",AIp2/3,287,33257,cortical_plate
344,"Agranular insular area, posterior part, layer 5",AIp5,288,29191,cortical_plate
314,"Agranular insular area, posterior part, layer 6a",AIp6a,289,13892,cortical_plate
704,"Agranular insular area, ventral part, layer 1",AIv1,292,30945,cortical_plate
694,"Agranular insular area, ventral part, layer 2/3",AIv2/3,293,39670,cortical_plate
800,"Agranular insular area, ventral part, layer 5",AIv5,294,25696,cortical_plate
675,"Agranular insular area, ventral part, layer 6a",AIv6a,295,6165,cortical_plate
935,"Anterior cingulate area, dorsal part, layer 1",ACAd1,227,34249,cortical_plate
211,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,228,50656,cortical_plate
1015,"Anterior cingulate area, dorsal part, layer 5",ACAd5,229,43701,cortical_plate
919,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,230,22529,cortical_plate
927,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,231,3005,cortical_plate
810,"Anterior cingulate area, ventral part, 6a",ACAv6a,236,18507,cortical_plate
819,"Anterior cingulate area, ventral part, 6b",ACAv6b,237,4443,cortical_plate
588,"Anterior cingulate area, ventral part, layer 1",ACAv1,233,33890,cortical_plate
296,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,234,46352,cortical_plate
772,"Anterior cingulate area, ventral part, layer 5",ACAv5,235,37081,cortical_plate
1074,"Anterolateral visual area, layer 1",VISal1,165,5504,cortical_plate
905,"Anterolateral visual area, layer 2/3",VISal2/3,166,11661,cortical_plate
1114,"Anterolateral visual area, layer 4",VISal4,167,4975,cortical_plate
233,"Anterolateral visual area, layer 5",VISal5,168,14082,cortical_plate
601,"Anterolateral visual area, layer 6a",VISal6a,169,7715,cortical_plate
649,"Anterolateral visual area, layer 6b",VISal6b,170,1441,cortical_plate
