index,animal,dob,sex,trauma,mildstressor,group,annotation_labels,annotation_names,annotation_abrv,parent_labels,parent_names,graph_order,count,gray,parcellation_group,volumes,count_vox
0,ms_01,4/21/20,M,Trauma,None,Control,4,Inferior colliculus,IC,339,"Midbrain, sensory related",808,11125,1.0,midbrain,357773,0.03109513574249594
1,ms_01,4/21/20,M,Trauma,None,Control,970,"Paragigantocellular reticular nucleus, dorsal part",PGRNd,938,Paragigantocellular reticular nucleus,974,46,1.0,hindbrain,9881,0.004655399251087947
2,ms_01,4/21/20,M,Trauma,None,Control,558,"Primary somatosensory area, nose, layer 1",SSp-n1,353,"Primary somatosensory area, nose",45,47,1.0,cortical_plate,21892,0.0021469029782568974
3,ms_01,4/21/20,M,Trauma,None,Control,269,"Posterolateral visual area, layer 2/3",VISpl2/3,425,Posterolateral visual area,194,48,1.0,cortical_plate,9689,0.004954071627618949
4,ms_01,4/21/20,M,Trauma,None,Control,390,Supraoptic nucleus,SO,157,Periventricular zone,717,48,1.0,diencephalon,3713,0.012927551844869378
5,ms_01,4/21/20,M,Trauma,None,Control,894,"Retrosplenial area, lateral agranular part",RSPagl,254,Retrosplenial area,298,49,1.0,cortical_plate,3439,0.014248328002326258
6,ms_01,4/21/20,M,Trauma,None,Control,1026,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,369,"Primary somatosensory area, upper limb",85,51,1.0,cortical_plate,10803,0.004720910858094974
7,ms_01,4/21/20,M,Trauma,None,Control,235,Lateral reticular nucleus,LRN,370,"Medulla, motor related",964,52,1.0,hindbrain,31634,0.0016438009736359613
8,ms_01,4/21/20,M,Trauma,None,Control,510,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,337,"Primary somatosensory area, lower limb",71,52,1.0,cortical_plate,6193,0.00839657678023575
9,ms_01,4/21/20,M,Trauma,None,Control,97,"Temporal association areas, layer 1",TEa1,541,Temporal association areas,361,53,1.0,cortical_plate,28872,0.0018356885563868108
10,ms_01,4/21/20,M,Trauma,None,Control,718,Ventral posterolateral nucleus of the thalamus,VPL,709,Ventral posterior complex of the thalamus,647,53,1.0,diencephalon,40066,0.0013228173513702391
11,ms_01,4/21/20,M,Trauma,None,Control,872,Dorsal nucleus raphe,DR,165,Midbrain raphe nuclei,865,53,1.0,midbrain,8056,0.006578947368421052
12,ms_01,4/21/20,M,Trauma,None,Control,1106,"Visceral area, layer 2/3",VISC2/3,677,Visceral area,116,54,1.0,cortical_plate,26981,0.00200140839850265
13,ms_01,4/21/20,M,Trauma,None,Control,839,Dorsal motor nucleus of the vagus nerve,DMX,370,"Medulla, motor related",956,45,1.0,hindbrain,5665,0.00794351279788173
14,ms_01,4/21/20,M,Trauma,None,Control,735,"Primary auditory area, layer 1",AUDp1,1002,Primary auditory area,137,55,1.0,cortical_plate,16294,0.0033754756352031424
15,ms_01,4/21/20,M,Trauma,None,Control,148,"Gustatory areas, layer 4",GU4,1057,Gustatory areas,110,55,1.0,cortical_plate,12954,0.004245792805311101
16,ms_01,4/21/20,M,Trauma,None,Control,101,Ventral cochlear nucleus,VCO,607,Cochlear nuclei,925,55,1.0,hindbrain,48367,0.0011371389583807142
