Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,0,"(0, 1800)",0.411993337,0.59244864,1159.951659,116.9129324
1,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,1,"(1800, 3600)",0,1,768.9168799,77.50006349
1,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,2,"(3600, 5400)",0.023320378,0.980566352,725.8435298,73.15864837
1,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,3,"(5400, 7200)",0.248750694,0.751249306,832.3759545,83.89618046
1,1,LD1_01_02_03_06_2023-03-01 12-34-03.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,4,"(7200, 9000)",0,1,603.7308625,60.85076476
4,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,0,"(0, 1800)",0.6191005,0.3808995,1620.157834,163.2976701
4,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,1,"(1800, 3600)",0.112715158,0.887284842,1040.983381,104.9219757
4,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,2,"(3600, 5400)",0.212104386,0.790116602,919.7152409,92.69921291
4,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,3,"(5400, 7200)",0.104941699,0.898945031,858.5938918,86.53871812
4,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,4,"(7200, 9000)",0.468888889,0.533333333,948.6774354,95.61834757
