Animal,Experiment,Box,phase,subphase,component,freezing,motion
1,230306_SEFL21G3_mildstressor_g4,1,mildstressor,prepost,bl,9.46,239.63
1,230306_SEFL21G3_mildstressor_g4,1,mildstressor,prepost,post,100,0.27
1,230306_SEFL21G3_mildstressor_g4,1,mildstressor,startle,startle_pre,0,99.91
1,230306_SEFL21G3_mildstressor_g4,1,mildstressor,startle,startle_startle,0,606.79
1,230306_SEFL21G3_mildstressor_g4,1,mildstressor,startle,startle_post,100,0.87
2,230306_SEFL21G3_mildstressor_g4,2,mildstressor,prepost,bl,0,601.18
2,230306_SEFL21G3_mildstressor_g4,2,mildstressor,prepost,post,0,267.87
2,230306_SEFL21G3_mildstressor_g4,2,mildstressor,startle,startle_pre,0,580.58
2,230306_SEFL21G3_mildstressor_g4,2,mildstressor,startle,startle_startle,0,574.13
2,230306_SEFL21G3_mildstressor_g4,2,mildstressor,startle,startle_post,0,38.58
3,230306_SEFL21G3_mildstressor_g4,3,mildstressor,prepost,bl,0.85,441.06
3,230306_SEFL21G3_mildstressor_g4,3,mildstressor,prepost,post,58.67,62.22
3,230306_SEFL21G3_mildstressor_g4,3,mildstressor,startle,startle_pre,0,524.3
3,230306_SEFL21G3_mildstressor_g4,3,mildstressor,startle,startle_startle,0,467.08
3,230306_SEFL21G3_mildstressor_g4,3,mildstressor,startle,startle_post,88.89,8.94
4,230306_SEFL21G3_mildstressor_g1,1,mildstressor,prepost,bl,0.69,490.15
4,230306_SEFL21G3_mildstressor_g1,1,mildstressor,prepost,post,0,406.44
4,230306_SEFL21G3_mildstressor_g1,1,mildstressor,startle,startle_pre,0,209.82
4,230306_SEFL21G3_mildstressor_g1,1,mildstressor,startle,startle_startle,0,640.46
4,230306_SEFL21G3_mildstressor_g1,1,mildstressor,startle,startle_post,0,565.74
5,230306_SEFL21G3_mildstressor_g1,2,mildstressor,prepost,bl,0,347.63
5,230306_SEFL21G3_mildstressor_g1,2,mildstressor,prepost,post,0,127.68
5,230306_SEFL21G3_mildstressor_g1,2,mildstressor,startle,startle_pre,0,414.46
5,230306_SEFL21G3_mildstressor_g1,2,mildstressor,startle,startle_startle,0,755
5,230306_SEFL21G3_mildstressor_g1,2,mildstressor,startle,startle_post,0,92.84
6,230306_SEFL21G3_mildstressor_g4,4,mildstressor,prepost,bl,0,615.63
6,230306_SEFL21G3_mildstressor_g4,4,mildstressor,prepost,post,11,260.12
6,230306_SEFL21G3_mildstressor_g4,4,mildstressor,startle,startle_pre,0,526.02
6,230306_SEFL21G3_mildstressor_g4,4,mildstressor,startle,startle_startle,0,497.81
6,230306_SEFL21G3_mildstressor_g4,4,mildstressor,startle,startle_post,36.67,30.84
7,230306_SEFL21G3_mildstressor_g5,1,mildstressor,prepost,bl,9.69,155.2
7,230306_SEFL21G3_mildstressor_g5,1,mildstressor,prepost,post,70.33,39.69
7,230306_SEFL21G3_mildstressor_g5,1,mildstressor,startle,startle_pre,0,355.32
7,230306_SEFL21G3_mildstressor_g5,1,mildstressor,startle,startle_startle,0,570.19
7,230306_SEFL21G3_mildstressor_g5,1,mildstressor,startle,startle_post,63.33,90.83
8,230306_SEFL21G3_mildstressor_g5,2,mildstressor,prepost,bl,0,605.39
8,230306_SEFL21G3_mildstressor_g5,2,mildstressor,prepost,post,0,515.33
8,230306_SEFL21G3_mildstressor_g5,2,mildstressor,startle,startle_pre,0,689.44
8,230306_SEFL21G3_mildstressor_g5,2,mildstressor,startle,startle_startle,0,1278.76
8,230306_SEFL21G3_mildstressor_g5,2,mildstressor,startle,startle_post,0,407.52
9,230306_SEFL21G3_mildstressor_g5,3,mildstressor,prepost,bl,0,420.25
9,230306_SEFL21G3_mildstressor_g5,3,mildstressor,prepost,post,0,233.67
9,230306_SEFL21G3_mildstressor_g5,3,mildstressor,startle,startle_pre,0,257.06
9,230306_SEFL21G3_mildstressor_g5,3,mildstressor,startle,startle_startle,0,980.07
9,230306_SEFL21G3_mildstressor_g5,3,mildstressor,startle,startle_post,0,301.83
10,230306_SEFL21G3_mildstressor_g1,3,mildstressor,prepost,bl,0,425.72
10,230306_SEFL21G3_mildstressor_g1,3,mildstressor,prepost,post,37.33,64.58
10,230306_SEFL21G3_mildstressor_g1,3,mildstressor,startle,startle_pre,0,423.89
10,230306_SEFL21G3_mildstressor_g1,3,mildstressor,startle,startle_startle,0,893.24
10,230306_SEFL21G3_mildstressor_g1,3,mildstressor,startle,startle_post,54.44,28.13
11,230306_SEFL21G3_mildstressor_g1,4,mildstressor,prepost,bl,2.94,299.14
11,230306_SEFL21G3_mildstressor_g1,4,mildstressor,prepost,post,78.33,7.18
11,230306_SEFL21G3_mildstressor_g1,4,mildstressor,startle,startle_pre,100,0.83
11,230306_SEFL21G3_mildstressor_g1,4,mildstressor,startle,startle_startle,0,600.02
11,230306_SEFL21G3_mildstressor_g1,4,mildstressor,startle,startle_post,96.67,0.68
12,230306_SEFL21G3_mildstressor_g2,1,mildstressor,prepost,bl,0,375.86
12,230306_SEFL21G3_mildstressor_g2,1,mildstressor,prepost,post,0,126.46
12,230306_SEFL21G3_mildstressor_g2,1,mildstressor,startle,startle_pre,0,273.56
12,230306_SEFL21G3_mildstressor_g2,1,mildstressor,startle,startle_startle,0,846.23
12,230306_SEFL21G3_mildstressor_g2,1,mildstressor,startle,startle_post,0,61.43
13,230306_SEFL21G3_mildstressor_g5,4,mildstressor,prepost,bl,0,568.59
13,230306_SEFL21G3_mildstressor_g5,4,mildstressor,prepost,post,0,239.03
13,230306_SEFL21G3_mildstressor_g5,4,mildstressor,startle,startle_pre,0,240.33
13,230306_SEFL21G3_mildstressor_g5,4,mildstressor,startle,startle_startle,0,673.7
13,230306_SEFL21G3_mildstressor_g5,4,mildstressor,startle,startle_post,0,241.63
14,230306_SEFL21G3_mildstressor_g6,1,mildstressor,prepost,bl,2.78,321.05
14,230306_SEFL21G3_mildstressor_g6,1,mildstressor,prepost,post,0,167.39
14,230306_SEFL21G3_mildstressor_g6,1,mildstressor,startle,startle_pre,0,705.54
14,230306_SEFL21G3_mildstressor_g6,1,mildstressor,startle,startle_startle,0,1544.08
14,230306_SEFL21G3_mildstressor_g6,1,mildstressor,startle,startle_post,0,152.06
15,230306_SEFL21G3_mildstressor_g6,2,mildstressor,prepost,bl,0,518.49
15,230306_SEFL21G3_mildstressor_g6,2,mildstressor,prepost,post,0,324.64
15,230306_SEFL21G3_mildstressor_g6,2,mildstressor,startle,startle_pre,0,352.44
15,230306_SEFL21G3_mildstressor_g6,2,mildstressor,startle,startle_startle,0,574.84
15,230306_SEFL21G3_mildstressor_g6,2,mildstressor,startle,startle_post,0,255.86
