Animal,File,phase,subphase,bin,motion,freezing
1,240324_SEFL21G4d2_novsts_01_02 Box 1.wmv,mildstressor,prepost,bl,487.3881481,27.14814815
1,240324_SEFL21G4d2_novsts_01_02 Box 1.wmv,mildstressor,startle,noise_noise,1631.155556,0
1,240324_SEFL21G4d2_novsts_01_02 Box 1.wmv,mildstressor,startle,noise_post,329.5444444,54.44444444
1,240324_SEFL21G4d2_novsts_01_02 Box 1.wmv,mildstressor,startle,noise_pre,170.2444444,65.55555556
1,240324_SEFL21G4d2_novsts_01_02 Box 1.wmv,mildstressor,prepost,post,307.9594595,52.7027027
1,20240322_21G4D_traumarecall_01_02 Box 1.wmv,traumatest,OFF,1,403.7725,41.36111111
1,20240322_21G4D_traumarecall_01_02 Box 1.wmv,traumatest,ON,2,159.3333333,69.36111111
1,20240322_21G4D_traumarecall_01_02 Box 1.wmv,traumatest,OFF,3,307.1291667,55.36111111
1,20240322_21G4D_traumarecall_01_02 Box 1.wmv,traumatest,ON,4,374.7566667,33.75
2,240324_SEFL21G4d2_novsts_01_02 Box 2.wmv,mildstressor,prepost,bl,654.8162963,20.27777778
2,240324_SEFL21G4d2_novsts_01_02 Box 2.wmv,mildstressor,startle,noise_noise,1308.722222,12.22222222
2,240324_SEFL21G4d2_novsts_01_02 Box 2.wmv,mildstressor,startle,noise_post,118.2333333,66.66666667
2,240324_SEFL21G4d2_novsts_01_02 Box 2.wmv,mildstressor,startle,noise_pre,473.9666667,0
2,240324_SEFL21G4d2_novsts_01_02 Box 2.wmv,mildstressor,prepost,post,571.179661,44.40677966
2,20240322_21G4D_traumarecall_01_02 Box 2.wmv,traumatest,OFF,1,507.1402778,38.41666667
2,20240322_21G4D_traumarecall_01_02 Box 2.wmv,traumatest,ON,2,669.6622222,16
2,20240322_21G4D_traumarecall_01_02 Box 2.wmv,traumatest,OFF,3,249.2052778,67.19444444
2,20240322_21G4D_traumarecall_01_02 Box 2.wmv,traumatest,ON,4,602.4994444,19.36111111
3,240324_SEFL21G4d2_novsts_03_04 Box 1.wmv,mildstressor,prepost,bl,405.3361111,36.05555556
3,240324_SEFL21G4d2_novsts_03_04 Box 1.wmv,mildstressor,startle,noise_noise,1338.6,0
3,240324_SEFL21G4d2_novsts_03_04 Box 1.wmv,mildstressor,startle,noise_post,1133.533333,0
3,240324_SEFL21G4d2_novsts_03_04 Box 1.wmv,mildstressor,startle,noise_pre,241.2666667,63.33333333
3,240324_SEFL21G4d2_novsts_03_04 Box 1.wmv,mildstressor,prepost,post,1100.369492,0
3,20240322_21G4D_traumarecall_03_04 Box 1.wmv,traumatest,OFF,1,175.2638889,61.5
3,20240322_21G4D_traumarecall_03_04 Box 1.wmv,traumatest,ON,2,50.12111111,88.11111111
3,20240322_21G4D_traumarecall_03_04 Box 1.wmv,traumatest,OFF,3,40.54722222,89.88888889
3,20240322_21G4D_traumarecall_03_04 Box 1.wmv,traumatest,ON,4,76.47638889,81.11111111
4,240324_SEFL21G4d2_novsts_03_04 Box 2.wmv,mildstressor,prepost,bl,943.6988889,6.555555556
