Animal,Exclude,DOB,Sex,Notes,SurgeryDate,Cage,Virus,Histo_notes
1,0,9/7/23,M,,2/17/24,82,mCherry,
2,0,9/7/23,M,,2/16/24,82,stGtACR1,
3,0,9/7/23,M,,2/17/24,82,mCherry,
4,0,9/14/23,M,,2/16/24,84,stGtACR1,
5,0,9/14/23,M,,2/17/24,84,mCherry,
6,1,9/14/23,M,,2/16/24,84,stGtACR1,Expression on one side only along ventricle
7,0,11/7/23,M,,2/17/24,89,mCherry,
8,1,11/7/23,M,,2/16/24,89,stGtACR1,tip too lateral on one side.
9,0,11/7/23,M,,2/16/24,89,stGtACR1,
10,0,11/7/23,M,,2/19/23,90,stGtACR1,
11,0,11/7/23,M,,2/17/24,90,mCherry,
12,0,11/7/23,M,,2/17/24,90,mCherry,
13,1,11/28/23,M,,2/19/23,93,stGtACR1,fiber too lateral on one side
14,0,11/28/23,M,,2/19/23,93,stGtACR1,
15,0,11/28/23,M,,2/19/23,93,mCherry,
16,0,10/24/23,F,,2/16/24,86,stGtACR1,
17,0,10/24/23,F,,2/16/24,86,stGtACR1,
18,0,10/24/23,F,,2/17/23,86,mCherry,
19,1,10/24/23,F,Died during Surgery,,87,,
20,0,10/24/23,F,,2/16/24,87,stGtACR1,
21,0,10/24/23,F,,2/16/24,87,stGtACR1,
22,0,9/14/23,F,,2/16/24,83,stGtACR1,
23,0,9/14/23,F,,2/17/23,83,mCherry,
24,0,9/14/23,F,,2/17/23,83,mCherry,
25,0,11/28/23,F,,2/17/23,92,mCherry,
26,0,11/28/23,F,,2/19/23,92,stGtACR1,
27,0,11/28/23,F,,2/17/23,92,mCherry,
28,0,11/28/23,F,,2/17/23,92,mCherry,
29,0,11/28/23,F,,2/19/23,92,stGtACR1,
