Animal,ExcludeLD,Notes,File,test,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,1,"(0, 3600)",0,1,2131.849222,159.5419372
1,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,2,"(3600, 7200)",0,1,1648.194701,123.3465167
1,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,3,"(7200, 10800)",0.297972785,0.702027215,2579.923517,193.0746281
1,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,4,"(10800, 14400)",0.123436197,0.876563803,2042.535306,152.8579208
2,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,1,"(0, 3600)",0.470424882,0.529852819,4039.036145,302.2707443
2,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,TRUE,2,"(3600, 7200)",0.326575951,0.67814496,2789.271688,208.7416896
2,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,3,"(7200, 10800)",0.187725632,0.812274368,1945.992324,145.6329003
2,0,,240318_21G4d_LD_01_02.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,4,"(10800, 14400)",0.398665555,0.604392549,2430.362294,181.8818632
3,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,1,"(0, 3600)",0,1,1699.682267,127.1997094
3,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,2,"(3600, 7200)",0,1,1529.101637,114.4339079
