Animal,File,phase,subphase,component,freezing,motion
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,bl,bl,4.987654321,846.0795062
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,bl,bl,1.962962963,986.328642
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,bl,bl,4.530864198,804.7933333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,bl,bl,7.296296296,748.3344444
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,bl,bl,7.234567901,813.1149383
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,bl,bl,27.95061728,443.9338272
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,bl,bl,4.777777778,894.0949383
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,bl,bl,8.407407407,765.1748148
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,bl,bl,4.975308642,896.7338272
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,bl,bl,1.62962963,1084.922593
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,bl,bl,5.543209877,796.042716
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,bl,bl,4.12345679,955.6511111
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,bl,bl,2.049382716,1138.486543
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,bl,bl,6.407407407,895.6735802
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,bl,bl,2.62962963,977.8058025
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,bl,bl,6.098765432,877.5940741
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,bl,bl,6.975308642,898.7859259
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,bl,bl,8.320987654,722.2414815
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,bl,bl,6.308641975,798.8792593
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,bl,bl,4.827160494,796.5341975
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,bl,bl,5.049382716,915.2453086
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,bl,bl,4.50617284,878.5990123
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,bl,bl,3.703703704,893.71
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,bl,bl,3.617283951,849.4375309
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,bl,bl,5.222222222,786.4598765
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,bl,bl,3.802469136,812.7177778
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,bl,bl,3.851851852,835.3280247
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,bl,laser,0,1415.845556
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,bl,laser,6.333333333,1075.283333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,bl,laser,3.888888889,1140.442222
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,bl,laser,0,1405.856667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,bl,laser,0,1210.874444
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,bl,laser,5.444444444,905.7777778
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,bl,laser,6.666666667,1413.255556
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,bl,laser,4.666666667,791.5855556
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,bl,laser,7.777777778,907.6922222
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,bl,laser,0,1384.795556
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,bl,laser,3.222222222,831.2133333
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,bl,laser,8.444444444,761.5477778
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,bl,laser,1.666666667,1249.951111
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,bl,laser,2.777777778,1185.366667
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,bl,laser,6,1013.945556
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,bl,laser,6.111111111,1234.836667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,bl,laser,0.111111111,1013.955556
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,bl,laser,13,510.7644444
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,bl,laser,3.333333333,1008.048889
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,bl,laser,0,1166.058889
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,bl,laser,2.555555556,1413.217778
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,bl,laser,0,999.4344444
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,bl,laser,7.111111111,774.59
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,bl,laser,4,609.7255556
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,bl,laser,0,848.5311111
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,bl,laser,0,1128.995556
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,bl,laser,7.777777778,782.2811111
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_1,9.5,699.4533333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_1,0,923.3166667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_1,3.833333333,704.4083333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_1,20,532.4833333
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_1,0,777.325
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_1,32.33333333,505.925
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_1,2.833333333,1023.525
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_1,25.33333333,502.1466667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_1,16.83333333,621.6416667
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_1,7.166666667,944.0083333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_1,7.166666667,460.4016667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_1,15.16666667,492.0933333
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_1,0,1013.08
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_1,9,553.7433333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_1,9.166666667,670.96
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_1,3.333333333,1001.171667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_1,27.16666667,764.8816667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_1,27.16666667,295.6283333
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_1,0,938.8783333
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_1,33.83333333,388.4383333
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_1,3.166666667,747.23
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_1,7.166666667,785.2416667
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_1,29.66666667,710.355
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_1,0,1156.5
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_1,59.16666667,180.8266667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_1,11.33333333,643.3416667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_1,8.333333333,637.295
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_10,55.72390572,236.1464646
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_10,65.32663317,137.5845896
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_10,63.14907873,213.7453936
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_10,84.03361345,105.7361345
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_10,95.65217391,34.42474916
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_10,100,0.018456376
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_10,51.42378559,199.1139028
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_10,47.81144781,342.6077441
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_10,87.37373737,55.496633
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_10,14.30976431,765.3686869
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_10,80.80808081,80.32996633
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_10,96.81742044,14.45896147
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_10,59.03010033,275.0752508
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_10,21,591.4083333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_10,96.33333333,31.27833333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_10,90.4040404,33.65488215
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_10,84.84848485,76.97643098
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_10,84.22818792,42.56040268
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_10,27.18120805,558.5687919
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_10,100,0.510067114
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_10,25.67114094,518.1510067
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_10,52.5083612,225.3394649
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_10,76.38190955,125.0234506
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_10,63.57504216,167.4047218
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_10,48.99328859,382.1375839
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_10,81.23953099,66.28978224
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_10,88.88888889,85.24915825
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_2,17.33333333,517.235
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_2,2.5,763.8116667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_2,0,799.265
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_2,39.83333333,237.8783333
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_2,9.666666667,712.7366667
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_2,69.66666667,111.595
