Animal,test,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0,1,1417.384256,107.4401669
1,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0,1,1613.363807,122.2957542
1,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0,1,2322.669134,176.0623191
1,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,4,"(10800, 14400)",0.049471929,0.953585325,2890.755469,219.1242414
2,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,1,"(0, 3600)",0.327131352,0.674257151,4540.321028,347.0397484
2,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,2,"(3600, 7200)",0.145792835,0.855317967,4424.090082,338.1556281
2,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,3,"(7200, 10800)",0.120522077,0.879477923,2575.085549,196.8268401
2,pre,240318_21H_LD_01_02.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,4,"(10800, 14400)",0.305447471,0.697609783,4691.497164,358.5949067
3,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0.439600111,0.563732297,3845.203123,291.4730168
3,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0.322965843,0.678978062,3637.843111,275.7547709
