Animal,File,Box,phase,subphase,component,freezing,motion
1,250821_SEFL21H2_trauma_01_02 Box 1.wmv,1,trauma,bl,bl,3.481481481,1132.143333
2,250821_SEFL21H2_trauma_01_02 Box 2.wmv,2,trauma,bl,bl,12.2345679,784.8140741
3,250821_SEFL21H2_trauma_03_04 Box 1.wmv,1,trauma,bl,bl,1.407407407,1097.154568
4,250821_SEFL21H2_trauma_03_04 Box 2.wmv,2,trauma,bl,bl,5.271604938,703.1938272
5,250821_SEFL21H2_trauma_05_06 Box 1.wmv,1,trauma,bl,bl,2.444444444,1145.781852
6,250821_SEFL21H2_trauma_05_06 Box 2.wmv,2,trauma,bl,bl,14.43209877,707.2090123
7,250821_SEFL21H2_trauma_07_08 Box 1.wmv,1,trauma,bl,bl,3.580246914,872.2032099
8,250821_SEFL21H2_trauma_07_08 Box 2.wmv,2,trauma,bl,bl,8.271604938,829.787284
9,250821_SEFL21H2_trauma_09_10 Box 1.wmv,1,trauma,bl,bl,11.2962963,706.5922222
10,250821_SEFL21H2_trauma_09_10 Box 2.wmv,2,trauma,bl,bl,2.567901235,943.5209877
11,250821_SEFL21H2_trauma_11_12 Box 1.wmv,1,trauma,bl,bl,3.444444444,796.8830864
12,250821_SEFL21H2_trauma_11_12 Box 2.wmv,2,trauma,bl,bl,10.65432099,782.8050617
13,250821_SEFL21H2_trauma_13_14 Box 1.wmv,1,trauma,bl,bl,7.839506173,823.9397531
14,250821_SEFL21H2_trauma_13_14 Box 2.wmv,2,trauma,bl,bl,15.44444444,625.437284
15,250821_SEFL21H2_trauma_xx_15.wmv,2,trauma,bl,bl,3.814814815,924.3219753
1,250821_SEFL21H2_trauma_01_02 Box 1.wmv,1,trauma,bl,laser,0,1318.016667
2,250821_SEFL21H2_trauma_01_02 Box 2.wmv,2,trauma,bl,laser,64.11111111,233.2666667
3,250821_SEFL21H2_trauma_03_04 Box 1.wmv,1,trauma,bl,laser,2,1327.09
4,250821_SEFL21H2_trauma_03_04 Box 2.wmv,2,trauma,bl,laser,4.333333333,832.05
5,250821_SEFL21H2_trauma_05_06 Box 1.wmv,1,trauma,bl,laser,1.666666667,1081.984444
6,250821_SEFL21H2_trauma_05_06 Box 2.wmv,2,trauma,bl,laser,50.44444444,200.54
7,250821_SEFL21H2_trauma_07_08 Box 1.wmv,1,trauma,bl,laser,13.44444444,778.8711111
8,250821_SEFL21H2_trauma_07_08 Box 2.wmv,2,trauma,bl,laser,20.55555556,510.58
9,250821_SEFL21H2_trauma_09_10 Box 1.wmv,1,trauma,bl,laser,17.33333333,778.8388889
10,250821_SEFL21H2_trauma_09_10 Box 2.wmv,2,trauma,bl,laser,47.55555556,252.6311111
11,250821_SEFL21H2_trauma_11_12 Box 1.wmv,1,trauma,bl,laser,6.444444444,733.4255556
12,250821_SEFL21H2_trauma_11_12 Box 2.wmv,2,trauma,bl,laser,2,849.5788889
13,250821_SEFL21H2_trauma_13_14 Box 1.wmv,1,trauma,bl,laser,12,858.1133333
14,250821_SEFL21H2_trauma_13_14 Box 2.wmv,2,trauma,bl,laser,36.55555556,554.2488889
15,250821_SEFL21H2_trauma_xx_15.wmv,2,trauma,bl,laser,10.55555556,776.4833333
1,250821_SEFL21H2_trauma_01_02 Box 1.wmv,1,trauma,postshock,postshock_1,2.666666667,1141.681667
2,250821_SEFL21H2_trauma_01_02 Box 2.wmv,2,trauma,postshock,postshock_1,18.16666667,780.2483333
3,250821_SEFL21H2_trauma_03_04 Box 1.wmv,1,trauma,postshock,postshock_1,47,251.725
4,250821_SEFL21H2_trauma_03_04 Box 2.wmv,2,trauma,postshock,postshock_1,20.5,389.6866667
5,250821_SEFL21H2_trauma_05_06 Box 1.wmv,1,trauma,postshock,postshock_1,7.333333333,624.4216667
6,250821_SEFL21H2_trauma_05_06 Box 2.wmv,2,trauma,postshock,postshock_1,67,159.1933333
7,250821_SEFL21H2_trauma_07_08 Box 1.wmv,1,trauma,postshock,postshock_1,5.333333333,1154.25
8,250821_SEFL21H2_trauma_07_08 Box 2.wmv,2,trauma,postshock,postshock_1,47,212.2133333
9,250821_SEFL21H2_trauma_09_10 Box 1.wmv,1,trauma,postshock,postshock_1,13.5,557.3366667
10,250821_SEFL21H2_trauma_09_10 Box 2.wmv,2,trauma,postshock,postshock_1,47.16666667,232.535
11,250821_SEFL21H2_trauma_11_12 Box 1.wmv,1,trauma,postshock,postshock_1,3,806.3333333
12,250821_SEFL21H2_trauma_11_12 Box 2.wmv,2,trauma,postshock,postshock_1,8,811.8566667
13,250821_SEFL21H2_trauma_13_14 Box 1.wmv,1,trauma,postshock,postshock_1,41.5,265.6216667
14,250821_SEFL21H2_trauma_13_14 Box 2.wmv,2,trauma,postshock,postshock_1,62.16666667,159.7266667
15,250821_SEFL21H2_trauma_xx_15.wmv,2,trauma,postshock,postshock_1,76.5,126.6566667
1,250821_SEFL21H2_trauma_01_02 Box 1.wmv,1,trauma,postshock,postshock_10,86.02693603,72.66329966
2,250821_SEFL21H2_trauma_01_02 Box 2.wmv,2,trauma,postshock,postshock_10,91.24579125,49.30639731
3,250821_SEFL21H2_trauma_03_04 Box 1.wmv,1,trauma,postshock,postshock_10,81.17647059,98.69411765
4,250821_SEFL21H2_trauma_03_04 Box 2.wmv,2,trauma,postshock,postshock_10,93.94957983,41.5512605
5,250821_SEFL21H2_trauma_05_06 Box 1.wmv,1,trauma,postshock,postshock_10,90.38785835,32.29848229
6,250821_SEFL21H2_trauma_05_06 Box 2.wmv,2,trauma,postshock,postshock_10,83.5016835,67.58922559
7,250821_SEFL21H2_trauma_07_08 Box 1.wmv,1,trauma,postshock,postshock_10,100,0.186554622
8,250821_SEFL21H2_trauma_07_08 Box 2.wmv,2,trauma,postshock,postshock_10,56.22895623,290.1077441
9,250821_SEFL21H2_trauma_09_10 Box 1.wmv,1,trauma,postshock,postshock_10,90.21922428,43.81112985
10,250821_SEFL21H2_trauma_09_10 Box 2.wmv,2,trauma,postshock,postshock_10,73.01854975,115.6526138
11,250821_SEFL21H2_trauma_11_12 Box 1.wmv,1,trauma,postshock,postshock_10,49.07251265,226.0505902
12,250821_SEFL21H2_trauma_11_12 Box 2.wmv,2,trauma,postshock,postshock_10,74.32432432,102.597973
13,250821_SEFL21H2_trauma_13_14 Box 1.wmv,1,trauma,postshock,postshock_10,100,0.511784512
14,250821_SEFL21H2_trauma_13_14 Box 2.wmv,2,trauma,postshock,postshock_10,84.9915683,83.88532884
15,250821_SEFL21H2_trauma_xx_15.wmv,2,trauma,postshock,postshock_10,100,1.560810811
1,250821_SEFL21H2_trauma_01_02 Box 1.wmv,1,trauma,postshock,postshock_2,10.5,631.0483333
2,250821_SEFL21H2_trauma_01_02 Box 2.wmv,2,trauma,postshock,postshock_2,24.66666667,308.9916667
3,250821_SEFL21H2_trauma_03_04 Box 1.wmv,1,trauma,postshock,postshock_2,82.33333333,120.6066667
4,250821_SEFL21H2_trauma_03_04 Box 2.wmv,2,trauma,postshock,postshock_2,43.16666667,342.685
5,250821_SEFL21H2_trauma_05_06 Box 1.wmv,1,trauma,postshock,postshock_2,45,290.7733333
6,250821_SEFL21H2_trauma_05_06 Box 2.wmv,2,trauma,postshock,postshock_2,46.16666667,271.8216667
7,250821_SEFL21H2_trauma_07_08 Box 1.wmv,1,trauma,postshock,postshock_2,35.16666667,620.0266667
8,250821_SEFL21H2_trauma_07_08 Box 2.wmv,2,trauma,postshock,postshock_2,29.5,376.875
