Animal,Exclude,Cage,Sex,DOB,Surgery,Virus,Notes,HistologyTips,Virus
1,1,120,F,9/18/24,7/17/25,stGtACR1,Had seizure right before being placed in box for S1,,
2,0,120,F,9/18/24,7/18/25,mCherry,,,
3,0,123,M,10/9/24,7/18/25,mCherry,,,
4,0,123,M,10/9/24,7/17/25,stGtACR1,,,
5,0,123,M,10/9/24,7/17/25,stGtACR1,,,
6,1,125,M,10/11/24,7/18/25,mCherry,Had a number of seizures during initial handling,,
7,1,125,M,10/11/24,7/18/25,stGtACR1,Had a number of seizures during initial handling,,
8,0,131,F,5/5/25,7/18/25,mCherry,,,
9,0,131,F,5/5/25,7/17/25,stGtACR1,,,
10,0,131,F,5/5/25,7/18/25,mCherry,,,
11,0,132,M,5/5/25,7/18/25,stGtACR1,,,
12,1,132,M,5/5/25,7/18/25,stGtACR1,,lateral on one side,medial on both sides
13,0,132,M,5/5/25,7/18/25,stGtACR1,,,
14,0,132,M,5/5/25,7/18/25,mCherry,,,
15,0,132,M,5/5/25,7/18/25,mCherry,,,
21,0,138,F,7/28/25,11/9/25,stGtACR1,,,
22,0,138,F,7/28/25,11/9/25,mCherry,,,
23,0,139,M,7/28/25,11/9/25,stGtACR1,,,
24,0,139,M,7/28/25,11/9/25,mCherry,,,
25,0,139,M,7/28/25,11/9/25,mCherry,,,
26,0,139,M,7/28/25,11/9/25,stGtACR1,,,
27,0,139,M,7/28/25,11/9/25,stGtACR1,,,
28,0,140,F,8/6/25,11/9/25,stGtACR1,,,
29,0,140,F,8/6/25,11/9/25,mCherry,,,
30,0,141,M,8/6/25,11/9/25,mCherry,,,
31,0,141,M,8/6/25,11/9/25,stGtACR1,,,
32,0,142,F,9/8/25,11/9/25,mCherry,,,
33,0,142,F,9/8/25,11/9/25,stGtACR1,,,
34,1,142,F,9/8/25,11/9/25,stGtACR1,,one side too lateral,
35,0,142,F,9/8/25,11/9/25,stGtACR1,,,
36,1,JAX,F,,11/9/25,stGtACR1,,one side too ventral/lteral,
37,0,JAX,F,,11/9/25,mCherry,,,
38,0,JAX,F,,11/9/25,stGtACR1,,,
