Animal,testnum,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,1,1,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,0,"(0, 1800)",0.415880067,0.585785675,1896.543956,189.2782052
1,1,1,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,1,"(1800, 3600)",0.233203776,0.773459189,1522.594453,151.9574299
1,1,1,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,2,"(3600, 5400)",0.179900056,0.823431427,1184.315553,118.1966395
1,1,1,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,3,"(5400, 7200)",0.302054414,0.69905608,886.8266871,88.50676152
1,1,1,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,4,"(7200, 9000)",0.143808995,0.865074958,1085.450571,108.3297517
2,1,2,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,0,"(0, 1800)",0.57523598,0.427540255,2006.954797,200.8800382
2,1,2,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,1,"(1800, 3600)",0.459744586,0.551360355,1639.58379,164.1091543
2,1,2,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,2,"(3600, 5400)",0.444752915,0.556912826,1496.420753,149.7796854
2,1,2,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,3,"(5400, 7200)",0.158245419,0.843975569,1262.022101,126.318265
2,1,2,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,4,"(7200, 9000)",0.615769017,0.389783454,1320.960673,132.2175422
3,1,3,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,0,"(0, 1800)",0.622987229,0.378678512,1853.092064,187.7594674
3,1,3,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,1,"(1800, 3600)",0.529705719,0.472515269,1713.441513,173.6097586
3,1,3,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,2,"(3600, 5400)",0.347584675,0.654636313,1232.871101,124.9172806
3,1,3,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,3,"(5400, 7200)",0.367018323,0.632981677,1228.138555,124.4377684
3,1,3,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,4,"(7200, 9000)",0.538034425,0.467518046,1383.266955,140.1557277
4,1,4,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,0,"(0, 1800)",0.547473626,0.453081621,1518.314391,154.061479
4,1,4,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,1,"(1800, 3600)",0.352581899,0.649083842,1614.739755,163.8456412
4,1,4,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,2,"(3600, 5400)",0.339811216,0.662409772,1158.400669,117.5414799
4,1,4,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,3,"(5400, 7200)",0.476401999,0.53525819,1344.161233,136.390374
4,1,4,21J_LD1_01_02_03_04_2024-05-26 12-49-00.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,4,"(7200, 9000)",0.295391449,0.705163798,1028.742554,104.3852316
5,1,1,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,0,"(0, 1800)",0.475846752,0.527484731,1562.764052,155.9664219
5,1,1,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,1,"(1800, 3600)",0.465852304,0.536368684,1348.759456,134.6084113
5,1,1,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,2,"(3600, 5400)",0.523598001,0.476957246,1441.358692,143.8499674
5,1,1,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,3,"(5400, 7200)",0.474736258,0.527484731,1312.746076,131.0142169
5,1,1,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",dark,FALSE,4,"(7200, 9000)",0.47806774,0.52193226,1084.984558,108.2832429
6,1,2,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",light,FALSE,0,"(0, 1800)",0.468073293,0.531926707,1726.661854,172.8249684
6,1,2,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",light,FALSE,1,"(1800, 3600)",0.26096613,0.741254858,1337.499999,133.8729957
6,1,2,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",light,FALSE,2,"(3600, 5400)",0.096057746,0.90671849,1268.364687,126.9531069
6,1,2,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",light,FALSE,3,"(5400, 7200)",0.385896724,0.614103276,1375.969421,137.7234756
6,1,2,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",light,FALSE,4,"(7200, 9000)",0.193225986,0.807884509,1244.477173,124.5621588
7,1,3,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,0,"(0, 1800)",0.357579123,0.64575236,1199.893406,121.5759062
7,1,3,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,1,"(1800, 3600)",0.332037757,0.67240422,1525.330443,154.5499208
7,1,3,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,2,"(3600, 5400)",0.545807885,0.465852304,1897.786116,192.2879696
7,1,3,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,3,"(5400, 7200)",0.446418656,0.557468073,1870.870171,189.5607853
