Animal,Experiment,Box,phase,subphase,component,freezing,motion
1,20240605_SEFL_21J_NovSts_g1,1,mildstressor,prepost,bl,0,431.39
1,20240605_SEFL_21J_NovSts_g1,1,mildstressor,prepost,post,53.67,124.23
1,20240605_SEFL_21J_NovSts_g1,1,mildstressor,startle,startle_pre,0,110.43
1,20240605_SEFL_21J_NovSts_g1,1,mildstressor,startle,startle_startle,0,842.31
1,20240605_SEFL_21J_NovSts_g1,1,mildstressor,startle,startle_post,87.78,33.93
2,20240605_SEFL_21J_NovSts_g1,2,mildstressor,prepost,bl,0.56,405.34
2,20240605_SEFL_21J_NovSts_g1,2,mildstressor,prepost,post,49.67,81.54
2,20240605_SEFL_21J_NovSts_g1,2,mildstressor,startle,startle_pre,0,515.77
2,20240605_SEFL_21J_NovSts_g1,2,mildstressor,startle,startle_startle,0,772.94
2,20240605_SEFL_21J_NovSts_g1,2,mildstressor,startle,startle_post,51.11,51.47
3,20240605_SEFL_21J_NovSts_g1,3,mildstressor,prepost,bl,0,376.27
3,20240605_SEFL_21J_NovSts_g1,3,mildstressor,prepost,post,61.33,27.27
3,20240605_SEFL_21J_NovSts_g1,3,mildstressor,startle,startle_pre,0,357.24
3,20240605_SEFL_21J_NovSts_g1,3,mildstressor,startle,startle_startle,0,1166.89
3,20240605_SEFL_21J_NovSts_g1,3,mildstressor,startle,startle_post,38.89,41.56
4,20240605_SEFL_21J_NovSts_g1,4,mildstressor,prepost,bl,0,484.78
4,20240605_SEFL_21J_NovSts_g1,4,mildstressor,prepost,post,0,207.3
4,20240605_SEFL_21J_NovSts_g1,4,mildstressor,startle,startle_pre,0,365.87
4,20240605_SEFL_21J_NovSts_g1,4,mildstressor,startle,startle_startle,0,1188.54
4,20240605_SEFL_21J_NovSts_g1,4,mildstressor,startle,startle_post,0,221.78
5,20240605_SEFL_21J_NovSts_g2,1,mildstressor,prepost,bl,0,624.28
5,20240605_SEFL_21J_NovSts_g2,1,mildstressor,prepost,post,43.33,77.11
5,20240605_SEFL_21J_NovSts_g2,1,mildstressor,startle,startle_pre,0,627.43
5,20240605_SEFL_21J_NovSts_g2,1,mildstressor,startle,startle_startle,0,730.09
