Animal,Animal_alt,DOB,Cage,Exclude,Notes_behav,Notes_minian,Notes_Images,Notes_Histo,StimulusSensitivity,ShockReactivity,LinearTrack,Surgery_Date,Sex,Cohort,Strain,Group,RanMinianConcatenated,Notes
1,"""01""",7/13/21,,0,,,,,0,0,0,2/9/22,M,A,GAD2Cre,T,1,
3,"""03""",7/13/21,,0,,,,,0,0,0,2/9/22,M,A,GAD2Cre,T,1,
5,"""05""",3/7/22,,0,,,,,0,1,0,6/1/22,M,C,GAD2Cre,T,1,
6,"""06""",3/7/22,,0,,,Most animals in Cohort B increased in brightness over time and LED setting had to be dropped,nice targeting,0,1,0,6/2/22,M,B,GAD2Cre,NT,1,
7,"""07""",3/7/22,,0,,,Most animals in Cohort B increased in brightness over time and LED setting had to be dropped,,0,1,0,6/2/22,M,B,GAD2Cre,T,1,
8,"""08""",3/7/22,,0,,,,,0,1,0,6/2/22,M,C,GAD2Cre,NT,1,
14,"""14""",3/7/22,,0,,No cells detected in 'truama' session.  Activity seemed most pronounced in final session,.  Most animals in Cohort B increased in brightness over time and LED setting had to be dropped,fairly anterior,0,1,0,6/3/22,M,B,GAD2Cre,NT,1,\
17,"""17""",5/13/22,,0,,,,a bit lateral,0,1,0,9/15/22,M,D,GAD2Cre,T,1,
18,"""18""",7/1/22,,0,,,,Good,0,1,0,9/15/22,M,D,GAD2Cre,T,1,
20,"""20""",7/1/22,,0,,,,Good targeting but minimal gcamp,0,1,0,9/15/22,M,D,GAD2Cre,NT,1,
21,"""21""",7/1/22,,0,,,,nice targeting,0,1,0,9/15/22,M,D,GAD2Cre,T,1,
22,"""22""",7/10/22,,0,,,,a bit dorsal,0,1,0,9/16/22,M,D,GAD2Cre,NT,1,
24,"""24""",7/10/22,,0,,,,a bit lateral/ventral,0,1,0,9/16/22,M,D,GAD2Cre,T,1,
25,25,5/21/24,111,0,Re-ran linear track day 2 because substantial issues with striping during first test.,,,,1,0,1,10/14/24,M,E,GAD2Cre,NT,1,
26,26,5/21/24,111,0,Ran Linear Track but appeared sick during final  day,,,,1,0,0,10/14/24,M,E,GAD2Cre,T,1,
27,27,5/21/24,111,0,,,,,1,0,1,10/14/24,M,E,GAD2Cre,NT,1,
28,28,5/21/24,111,0,,,,,1,0,1,10/14/24,M,E,GAD2Cre,T,1,
29,29,7/3/24,113,0,Re-ran stimulus sensitiivty because missed last two 0.25 mA shocks. During re-run Miniscope began flickering a ton towards end. Had very difficult time selectively removing these frames and excluded,,,,0,0,1,10/14/24,M,E,GAD2Cre,T,1,
30,30,7/3/24,113,0,,,,,1,0,1,10/14/24,M,E,GAD2Cre,NT,1,
31,31,8/2/24,115,0,,,,,1,0,1,10/16/24,M,E,GAD2Cre,NT,1,
33,33,8/2/24,115,0,,,"PCB was starting to go bad during stimulus sensitivity assay. Tried to rerun next day with new PCB but FOV shiffted, LED setting went up, and not sure if focal plane is the same. Minian seemed to work well on first assay",A touch ventral,1,0,1,10/16/24,M,E,GAD2Cre,T,1,
35,35,8/2/24,115,0,,,"PCB was starting to go bad during stimulus sensitivity assay. Tried to rerun next day with new PCB but FOV shiffted, LED setting went up, and not sure if focal plane is the same. Minian seemed to work well on first assay",,1,0,1,10/16/24,M,E,GAD2Cre,T,1,
36,36,7/3/24,112,0,,,,,1,0,0,10/16/24,F,E,GAD2Cre,NT,1,
38,38,7/3/24,112,0,,,,,1,0,0,10/17/24,F,E,GAD2Cre,T,1,
39,39,7/3/24,112,0,Imaging for stim sensitivity not saved. Reran following day. Exclude from anything comparing groups,,PCB for stim sensitivity was changed and light and field of view different.,,1,0,0,10/17/24,F,E,GAD2Cre,T,1,
41,41,8/2/24,114,0,,,,,1,0,0,10/17/24,F,E,GAD2Cre,NT,1,
42,42,8/2/24,114,0,,,,,1,0,0,10/17/24,F,E,GAD2Cre,T,1,
16,"""16""",5/13/22,,1,"For novel stressor, cable got caught in door.  After first noise, taken out and re-run",,,Good,0,1,0,9/15/22,M,D,GAD2Cre,NT,1,
2,,7/13/21,,1,,,,Not in AHN,0,0,0,2/9/22,M,A,GAD2Cre,NT,,
4,,7/13/21,,1,,,No Image,,0,0,0,2/9/22,M,A,GAD2Cre,,,
9,,3/7/22,,1,Died before start.,,,,0,0,0,6/2/22,M,B,GAD2Cre,,,
10,,3/7/22,,1,,,no image,,0,1,0,6/2/22,M,B,GAD2Cre,,,
11,,3/7/22,,1,,,,anterior and lateral,0,1,0,6/2/22,M,C,GAD2Cre,T,,
12,,3/7/22,,1,,,no image,,0,1,0,6/3/22,M,B,GAD2Cre,,,
13,,3/7/22,,1,,,terrible images,,0,1,0,6/3/22,M,B,GAD2Cre,T,,
15,,5/13/22,,1,,,Very few cells and bad field of view,Slightly medial,0,1,0,9/15/22,M,D,GAD2Cre,NT,,
19,,7/1/22,,1,,,No image,,0,1,0,9/15/22,M,D,GAD2Cre,,,
23,,7/10/22,,1,,,,too lateral,0,1,0,9/16/22,M,D,GAD2Cre,NT,,
32,32,8/2/24,115,1,,,No image,,1,0,0,10/16/24,M,E,GAD2Cre,,,
34,34,8/2/24,115,1,,,Bad image,,1,0,1,10/16/24,M,E,GAD2Cre,,,
37,37,7/3/24,112,1,,,No image,,1,0,0,10/16/24,F,E,GAD2Cre,,,
40,40,8/2/24,114,1,,,Bad image,,1,0,0,10/17/24,F,E,GAD2Cre,,,
