Animal,Experiment,din,state,time,rewarded
05,25c5,START,,1761063930.3633204,
05,25c5,3,1.0,1761063948.2041934,1.0
05,25c5,3,0.0,1761063948.2214527,
05,25c5,3,1.0,1761063948.5174236,0.0
05,25c5,3,0.0,1761063948.5493195,
05,25c5,3,1.0,1761063948.626671,0.0
05,25c5,3,0.0,1761063948.657589,
05,25c5,3,1.0,1761063948.7359524,0.0
05,25c5,3,0.0,1761063948.783259,
05,25c5,3,1.0,1761063948.860032,0.0
05,25c5,3,0.0,1761063948.891755,
05,25c5,3,1.0,1761063948.9861665,0.0
05,25c5,3,0.0,1761063949.0180638,
05,25c5,3,1.0,1761063949.095941,0.0
05,25c5,3,0.0,1761063949.1427,
05,25c5,3,1.0,1761063949.2203758,0.0
05,25c5,3,0.0,1761063949.2825496,
05,25c5,3,1.0,1761063949.344386,0.0
05,25c5,3,0.0,1761063949.4075496,
05,25c5,3,1.0,1761063949.485726,0.0
05,25c5,3,0.0,1761063949.517641,
05,25c5,3,1.0,1761063949.596747,0.0
05,25c5,3,0.0,1761063949.6598632,
05,25c5,3,1.0,1761063956.502892,0.0
05,25c5,3,0.0,1761063956.5509214,
05,25c5,3,1.0,1761063956.614191,0.0
05,25c5,3,0.0,1761063956.6454985,
05,25c5,4,1.0,1761063958.7294142,1.0
05,25c5,4,0.0,1761063958.7605753,
05,25c5,4,1.0,1761063958.934567,0.0
05,25c5,4,0.0,1761063958.9662206,
05,25c5,4,1.0,1761063959.0589566,0.0
05,25c5,4,0.0,1761063959.0753806,
05,25c5,4,1.0,1761063959.1365604,0.0
05,25c5,4,0.0,1761063959.1836991,
05,25c5,4,1.0,1761063959.260794,0.0
05,25c5,4,0.0,1761063959.3078742,
05,25c5,4,1.0,1761063959.3852625,0.0
05,25c5,4,0.0,1761063959.4168868,
05,25c5,4,1.0,1761063959.8105073,0.0
05,25c5,4,0.0,1761063959.841893,
05,25c5,4,1.0,1761063959.9204552,0.0
05,25c5,4,0.0,1761063959.9683273,
05,25c5,4,1.0,1761063960.031391,0.0
05,25c5,4,0.0,1761063960.0789127,
05,25c5,4,1.0,1761063960.1568637,0.0
05,25c5,4,0.0,1761063960.204562,
05,25c5,4,1.0,1761063960.4263723,0.0
05,25c5,4,0.0,1761063960.4740217,
05,25c5,4,1.0,1761063960.5541916,0.0
